sample_id,i_bits,o_bits,i_hex,o_hex,count,first_seed,first_cycle,first_pc_id,first_instr_rdata_id
912,0000011110001001101100110011100101000000,0000,0x789b33940,0x0,1,889,7491,800035d6,413c56b3
913,0000011110001010101101110011000101001000,0000,0x78ab73148,0x0,1,889,7076,80004184,415c56b3
914,0000011110001010111100110011000101100000,0000,0x78af33160,0x0,1,889,5464,80003e5c,015c1833
915,0000011110001100100001000010100110000000,0000,0x78c842980,0x0,1,889,4904,80003cba,019c6833
916,0000011110001100111111110011100101000000,0000,0x78cff3940,0x0,1,889,4343,80003ac6,019c0c33
917,0000011110001101011000000010100110100000,0010,0x78d6029a0,0x2,1,888,1281,80000308,bbac0c13
918,0000011110010000000000000101000000000000,1100,0x790005000,0xc,4,888,8516,80002386,000c87b3
919,0000011110010000000000000101000000001000,1100,0x790005008,0xc,1,888,8515,80002386,000c87b3
920,0000011110010000000000000101010000111000,1100,0x790005438,0xc,1,888,2179,80002386,000c87b3
921,0000011110010000000000000101100000100000,1100,0x790005820,0xc,4,888,2173,80002386,000c87b3
922,0000011110010000000000000101110000100000,1100,0x790005c20,0xc,1,888,2177,80002386,000c87b3
923,0000011110010000000000000101110000110000,1100,0x790005c30,0xc,1,888,2178,80002386,000c87b3
924,0000011110010000000000000111000101000001,0000,0x790007141,0x0,1,888,8520,80002386,000c87b3
925,0000011110010000000000000111000101000011,0000,0x790007143,0x0,1,888,4333,80002386,000c87b3
926,0000011110010000000000000111010001110001,0000,0x790007471,0x0,1,888,2180,80002386,000c87b3
927,0000011110010000000000110011000101000000,0000,0x790033140,0x0,1,888,5403,80003e8e,000c87b3
928,0000011110010000000000110011000101100000,0000,0x790033160,0x0,1,888,3690,80003e8e,000c87b3
929,0000011110010010001111111011000101000011,0000,0x7923fb143,0x0,1,888,5663,80003f0a,004c8c93
930,0000011110010010001111111011100101100011,0000,0x7923fb963,0x0,1,888,3937,80003f0a,004c8c93
931,0000011110010011011000110011000101110000,0000,0x793633170,0x0,1,889,4978,80003d2a,006c9e13
932,0000011110010011111011000010000110100000,0000,0x793ec21a0,0x0,1,888,2136,800031a0,9c7cb313
933,0000011110010100001111110011000101000000,0000,0x7943f3140,0x0,1,889,2522,800037a0,ce8cab93
934,0000011110010110001001110011100101100000,0000,0x796273960,0x0,1,889,599,800001ee,ccccd5b7
935,0000011110010110001110110011000101101000,0000,0x7963b3168,0x0,1,888,860,800001ee,ccccd5b7
936,0000011110011011111101000010100110110000,0000,0x79bf429b0,0x0,1,888,1804,80003088,4b7ca513
937,0000011110011100010000000010100110110000,0000,0x79c4029b0,0x0,1,889,1534,80003656,ad8c8c13
938,0000011110011100010000110011100101100000,0000,0x79c433960,0x0,1,889,7786,80003656,ad8c8c13
939,0000011110011100011001110011100101100000,0010,0x79c673960,0x2,1,888,367,80000090,c58c8c93
940,0000011110011100100101000010000110010000,0000,0x79c942190,0x0,1,889,2346,8000373a,019cd9b3
941,0000011110011110000000000010000110001000,0000,0x79e002188,0x0,1,888,8498,80002380,ffcc8c93
942,0000011110011110000000000010100110100000,0000,0x79e0029a0,0x0,2,888,2167,80002380,ffcc8c93
943,0000011110011110001011110011000101110000,0000,0x79e2f3170,0x0,1,888,1593,8000301e,01ccd1b3
944,0000011110011111100011110011000101000000,0000,0x79f8f3140,0x0,1,889,2092,8000365e,fffc8c93
945,0000011110011111100011110011100101110000,0000,0x79f8f3970,0x0,1,889,7791,8000365e,fffc8c93
946,0000011110011111101010000010000110001000,0000,0x79fa82188,0x0,1,889,3143,800038b0,fffc8c93
947,0000011110011111101010000010000110101000,0000,0x79fa821a8,0x0,1,889,9203,800038b0,fffc8c93
948,0000011110100000010011110011000101111000,0000,0x7a04f3178,0x0,1,889,7033,8000416c,0a0d3393
949,0000011110100001011101110011000101100000,0000,0x7a1773160,0x0,1,889,4267,80003a8e,002d0eb3
950,0000011110100100100001110011000101000000,0000,0x7a4873140,0x0,1,889,4785,80003c2e,009d41b3
951,0000011110100110001100110011000101101000,0000,0x7a6333168,0x0,1,889,10996,80003a5a,00cd0d13
952,0000011110100110001100110011000101111000,0000,0x7a6333178,0x0,1,889,4178,80003a5a,00cd0d13
953,0000011110101001011010000010100110000000,0010,0x7a9682980,0x2,1,889,1098,80000324,492d0d13
954,0000011110101010111111110011000101101000,0000,0x7aaff3168,0x0,1,889,3329,8000391a,015d0d33
955,0000011110101010111111110011000101111000,0000,0x7aaff3178,0x0,1,889,9468,8000391a,015d0d33
956,0000011110101100100000000010000110001000,0000,0x7ac802188,0x0,1,889,4556,80003b66,019d1d13
957,0000011110101111100000000010000110011000,0000,0x7af802198,0x0,1,889,9248,800038e2,a7fd6a93
958,0000011110101111100000110011000101000000,0000,0x7af833140,0x0,1,889,3238,800038e2,a7fd6a93
959,0000011110101111111000000010100110000000,0000,0x7afe02980,0x0,1,889,7713,8000362a,01fd69b3
960,0000011110101111111000000011000101001000,0000,0x7afe03148,0x0,1,889,1477,8000362a,01fd69b3
961,0000011110110000010011000010000110001000,0000,0x7b04c2188,0x0,1,889,9725,800039b4,000dd6b3
962,0000011110110000010011110011100101100000,0000,0x7b04f3960,0x0,1,889,3504,800039b4,000dd6b3
963,0000011110110000110010000010000110001000,0000,0x7b0c82188,0x0,1,889,7680,80003616,001d99b3
964,0000011110110000110010000010100110100000,0000,0x7b0c829a0,0x0,1,889,1414,80003616,001d99b3
965,0000011110110000111100110011000101100000,0000,0x7b0f33160,0x0,1,889,6424,800040b6,381dea13
966,0000011110110001101111000010000110101000,0000,0x7b1bc21a8,0x0,1,889,5382,80003e36,083def93
967,0000011110110010000000000010000110001000,0000,0x7b2002188,0x0,1,889,6419,800040a6,004d9f93
968,0000011110110011100001110011000101000000,0000,0x7b3873140,0x0,1,889,3280,800038f6,007dc833
969,0000011110110011100001110011100101000000,0000,0x7b3873940,0x0,1,889,9311,800038f6,007dc833
970,0000011110110011110110110011000101011000,0000,0x7b3db3158,0x0,1,888,6016,80003340,007df1b3
971,0000011110110101001011110011100101100000,0000,0x7b52f3960,0x0,1,889,4625,80003bae,00ad82b3
972,0000011110110111010100000011000101100000,0000,0x7b7503160,0x0,2,889,3556,800039c4,40edda13
