sample_id,i_bits,o_bits,i_hex,o_hex,count
162,0010000011000101100000111011111010111110000,0000,0x1062c1df5f0,0x0,1000
163,0010000010000101110001111011110110111001010,0000,0x1042e3dedca,0x0,261
164,0010000010000101000001110011111110111000110,1000,0x1042839fdc6,0x8,4207
165,0010000010000101010001111011111110111000110,1000,0x1042a3dfdc6,0x8,496
166,0010000011000101000000111011111110111000110,1000,0x106281dfdc6,0x8,2139
167,0010000011000101100000111011111110111000110,0000,0x1062c1dfdc6,0x0,692
168,0010000010000101000001110011110001111001110,1000,0x1042839e3ce,0x8,4202
169,0010000010000101010001111011110001111001110,1000,0x1042a3de3ce,0x8,505
170,0010000011000101000000111011110001111001110,1000,0x106281de3ce,0x8,1758
171,0010000011000101100000111011110001111001110,0000,0x1062c1de3ce,0x0,662
172,0010000010000101110001111011111001111000000,0000,0x1042e3df3c0,0x0,341
173,0010000010000101110001111011110101111001000,0000,0x1042e3debc8,0x0,381
174,0010000010000101110001111011111101111000100,0000,0x1042e3dfbc4,0x0,368
175,0010000010000101110001111011110011111001100,0000,0x1042e3de7cc,0x0,418
176,0010000010000101110001111011111011111000010,0000,0x1042e3df7c2,0x0,372
177,0010000010000001000001110011111011111001010,0000,0x1040839f7ca,0x0,328
178,0010000010000101000001110011110111111001010,1000,0x1042839efca,0x8,4460
179,0010000010000101010001111011110111111001010,1000,0x1042a3defca,0x8,538
180,0010000011000101000000111011110111111001010,1000,0x106281defca,0x8,1716
181,0010000011000101100000111011110111111001010,0000,0x1062c1defca,0x0,600
182,0010000010000001010001111011110111111000110,0000,0x1040a3defc6,0x0,91
183,0010000010000001000000111011110111111000110,0000,0x104081defc6,0x0,4780
184,0010000010000101000000111011111111111000110,1000,0x104281dffc6,0x8,88
185,0010000011000101000000111011111111111000110,1000,0x106281dffc6,0x8,1608
186,0010000011000101100000111011111111111000110,0000,0x1062c1dffc6,0x0,585
187,0010000010000100010001111000000100010001110,0000,0x104223c088e,0x0,926
